
========== Fixed Pool ==========
VM ID	TYPE	Price($/year)	Total Allocation Time	Total Incurred Cost($/year)
Total cost for fixed pool in $ per year: 0.0

========== Floating Pool ==========
VM ID	TYPE	Price($/hour)	Total Allocation Time	Total Incurred Cost($)
782	ONDEMAND	0.07	481	0.07
783	ONDEMAND	0.07	481	0.07
784	ONDEMAND	0.07	481	0.07
785	ONDEMAND	0.07	481	0.07
786	ONDEMAND	0.07	481	0.07
787	ONDEMAND	0.07	481	0.07
788	ONDEMAND	0.07	481	0.07
789	ONDEMAND	0.07	481	0.07
790	ONDEMAND	0.07	481	0.07
791	ONDEMAND	0.07	481	0.07
792	ONDEMAND	0.07	481	0.07
793	ONDEMAND	0.07	481	0.07
794	ONDEMAND	0.07	481	0.07
795	ONDEMAND	0.07	481	0.07
796	ONDEMAND	0.07	481	0.07
797	ONDEMAND	0.07	481	0.07
798	ONDEMAND	0.07	481	0.07
799	ONDEMAND	0.07	481	0.07
800	ONDEMAND	0.07	481	0.07
801	ONDEMAND	0.07	481	0.07
802	ONDEMAND	0.07	481	0.07
803	ONDEMAND	0.07	481	0.07
804	ONDEMAND	0.07	481	0.07
805	ONDEMAND	0.07	481	0.07
806	ONDEMAND	0.07	481	0.07
807	ONDEMAND	0.07	481	0.07
808	ONDEMAND	0.07	481	0.07
809	ONDEMAND	0.07	481	0.07
810	ONDEMAND	0.07	481	0.07
811	ONDEMAND	0.07	481	0.07
812	ONDEMAND	0.07	481	0.07
813	ONDEMAND	0.07	481	0.07
814	ONDEMAND	0.07	481	0.07
815	ONDEMAND	0.07	481	0.07
816	ONDEMAND	0.07	481	0.07
817	ONDEMAND	0.07	481	0.07
818	ONDEMAND	0.07	481	0.07
819	ONDEMAND	0.07	481	0.07
820	ONDEMAND	0.07	481	0.07
821	ONDEMAND	0.07	481	0.07
822	ONDEMAND	0.07	481	0.07
823	ONDEMAND	0.07	481	0.07
824	ONDEMAND	0.07	481	0.07
825	ONDEMAND	0.07	481	0.07
826	ONDEMAND	0.07	481	0.07
827	ONDEMAND	0.07	481	0.07
828	ONDEMAND	0.07	481	0.07
829	ONDEMAND	0.07	481	0.07
830	ONDEMAND	0.07	481	0.07
831	ONDEMAND	0.07	481	0.07
832	ONDEMAND	0.07	481	0.07
